Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2784,Ways of Seeing,John Berger,"Berger, John",,0140135154,9780140135152,5,3.91,Penguin,Paperback,176,1990,1972,7/10/2021,11/20/2020,,,read,"this book surprises me! the author has such an awesome perspective on art, relating it to feminism, capitalism, class conflict, and so much more. definitely recommend it.",,,1,0
36722636,The Deep Learning Revolution,Terrence J. Sejnowski,"Sejnowski, Terrence J.",,026203803X,9780262038034,2,3.75,MIT Press,Hardcover,352,2018,2018,7/10/2021,4/12/2021,,,read,"this one is my fault for not doing careful research beforehand... it has interesting insights but is very technical and requires a lot of prior knowledge. would be suitable for someone learning about neural networks in-depth, not for beginners or those looking for analysis of real-world applications. the writing is very good though! it's just not for me.",,,1,0
42611483,Escaping the Build Trap: How Effective Product Management Creates Real Value,Melissa Perri,"Perri, Melissa",,,,0,4.34,O'Reilly Media,Kindle Edition,200,2018,2018,,6/21/2021,to-read,to-read (#68),to-read,,,,0,0
97412,On the Shortness of Life,Seneca,"Seneca, Seneca",Charles Desmond Nuttall Costa,0143036327,9780143036326,0,4.19,Penguin Books,Paperback,106,2005,49,,6/11/2021,to-read,to-read (#67),to-read,,,,0,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,1419729071,9781419729072,0,4.37,Abrams Press,Hardcover,318,2019,2019,,6/11/2021,to-read,to-read (#66),to-read,,,,0,0
31945168,Together and By Ourselves,Alex Dimitrov,"Dimitrov, Alex",,1556595107,9781556595103,0,3.95,Copper Canyon Press,Paperback,96,2017,2017,,6/3/2021,to-read,to-read (#65),to-read,,,,0,0
17046560,Afterlives of the Saints,Colin Dickey,"Dickey, Colin",,160953073X,9781609530730,0,3.89,Unbridled Books,ebook,288,2012,2012,,6/3/2021,to-read,to-read (#64),to-read,,,,0,0
31395589,Notes of a Crocodile,Qiu Miaojin,"Miaojin, Qiu",Bonnie Huie,168137076X,9781681370767,0,3.82,NYRB Classics,Paperback,242,2017,1994,,6/3/2021,to-read,to-read (#63),to-read,,,,0,0
14082,Malgudi Days,R.K. Narayan,"Narayan, R.K.",Jhumpa Lahiri,0143039652,9780143039655,0,4.21,Penguin Classics,Paperback,264,2006,1943,,6/2/2021,to-read,to-read (#62),to-read,,,,0,0
82120,The Worldly Philosophers,Robert L. Heilbroner,"Heilbroner, Robert L.",,068486214X,9780684862149,0,4.15,Touchstone/Simon & Schuster (NY),Paperback,368,1999,1953,,5/23/2021,to-read,to-read (#61),to-read,,,,0,0
13376363,Teaching My Mother How to Give Birth,Warsan Shire,"Shire, Warsan",,1905233299,9781905233298,0,4.26,Flipped Eye,Paperback,37,2011,2011,,5/22/2021,to-read,to-read (#60),to-read,,,,0,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,"Collins, James C.",,0066620996,9780066620992,4,4.13,Harper Business,Hardcover,300,2001,2001,5/21/2021,3/11/2021,,,read,,,,1,0
43352954,This is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,,,0,3.96,Saga Press,Kindle Edition,209,2019,2019,,5/15/2021,to-read,to-read (#59),to-read,,,,0,0
35519,The Power of Myth,Joseph Campbell,"Campbell, Joseph",Bill Moyers,0385418868,9780385418867,0,4.26,Anchor,Paperback,320,1988,1988,,10/5/2020,currently-reading,currently-reading (#1),currently-reading,,,,1,0
52283963,The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you,Rob  Fitzpatrick,"Fitzpatrick, Rob",,,,4,4.36,Robfitz Ltd,Kindle Edition,138,2019,2013,,2/20/2021,,,read,,,,1,0
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,,,4,4.18,Riverhead Books,Hardcover,343,2020,2020,4/24/2021,3/1/2021,,,read,,,,1,0
